id,name,box_art_url
"82043","Knight Move","https://static-cdn.jtvnw.net/ttv-boxart/Knight%20Move-{width}x{height}.jpg"
"82044","Namida no Sokoban Special","https://static-cdn.jtvnw.net/ttv-boxart/Namida%20no%20Sokoban%20Special-{width}x{height}.jpg"
"82045","Caesar's World of Gambling","https://static-cdn.jtvnw.net/ttv-boxart/Caesar%27s%20World%20of%20Gambling-{width}x{height}.jpg"
"82046","Eggerland","https://static-cdn.jtvnw.net/ttv-boxart/Eggerland-{width}x{height}.jpg"
"82047","Puzzle Bobble: Disney Edition","https://static-cdn.jtvnw.net/ttv-boxart/./Puzzle%20Bobble:%20Disney%20Edition-{width}x{height}.jpg"
"82048","Sword Dancer","https://static-cdn.jtvnw.net/ttv-boxart/Sword%20Dancer-{width}x{height}.jpg"
"82049","Azumanga Daioh Puzzle Bobble","https://static-cdn.jtvnw.net/ttv-boxart/Azumanga%20Daioh%20Puzzle%20Bobble-{width}x{height}.jpg"
"82050","Bubble Memories: The Story of Bubble Bobble III","https://static-cdn.jtvnw.net/ttv-boxart/./Bubble%20Memories:%20The%20Story%20of%20Bubble%20Bobble%20III-{width}x{height}.jpg"
"82051","Tetris S","https://static-cdn.jtvnw.net/ttv-boxart/Tetris%20S-{width}x{height}.jpg"
"82052","Balloon Pop Festival","https://static-cdn.jtvnw.net/ttv-boxart/Balloon%20Pop%20Festival-{width}x{height}.jpg"
"82053","Pop'n Pop","https://static-cdn.jtvnw.net/ttv-boxart/Pop%27n%20Pop-{width}x{height}.jpg"
"82054","Balloon Pop Plus","https://static-cdn.jtvnw.net/ttv-boxart/Balloon%20Pop%20Plus-{width}x{height}.jpg"
"82055","Fly'N","https://static-cdn.jtvnw.net/ttv-boxart/Fly%27N-{width}x{height}.jpg"
"82364","F/A-18 Operation Iraqi Freedom","https://static-cdn.jtvnw.net/ttv-boxart/F/A-18%20Operation%20Iraqi%20Freedom-{width}x{height}.jpg"
"82365","Fighter Ace II","https://static-cdn.jtvnw.net/ttv-boxart/Fighter%20Ace%20II-{width}x{height}.jpg"
"82366","Spring","https://static-cdn.jtvnw.net/ttv-boxart/Spring-{width}x{height}.jpg"
"82367","Vega Strike","https://static-cdn.jtvnw.net/ttv-boxart/Vega%20Strike-{width}x{height}.jpg"
"82368","Red Eclipse","https://static-cdn.jtvnw.net/ttv-boxart/Red%20Eclipse-{width}x{height}.jpg"
"82369","Europa Concept","https://static-cdn.jtvnw.net/ttv-boxart/Europa%20Concept-{width}x{height}.jpg"
"82370","Rigs of Rods","https://static-cdn.jtvnw.net/ttv-boxart/Rigs%20of%20Rods-{width}x{height}.jpg"
"82371","Brothers in Arms 2: Global Front","https://static-cdn.jtvnw.net/ttv-boxart/./Brothers%20in%20Arms%202:%20Global%20Front-{width}x{height}.jpg"
"82372","Yamato","https://static-cdn.jtvnw.net/ttv-boxart/Yamato-{width}x{height}.jpg"
"82373","Densha de Go! Pocket","https://static-cdn.jtvnw.net/ttv-boxart/Densha%20de%20Go%21%20Pocket-{width}x{height}.jpg"
"82374","Space Miner","https://static-cdn.jtvnw.net/ttv-boxart/Space%20Miner-{width}x{height}.jpg"
"82375","Googolplex","https://static-cdn.jtvnw.net/ttv-boxart/Googolplex-{width}x{height}.jpg"
"82376","Paper Toss: World Tour","https://static-cdn.jtvnw.net/ttv-boxart/./Paper%20Toss:%20World%20Tour-{width}x{height}.jpg"
"82377","Hunters 2","https://static-cdn.jtvnw.net/ttv-boxart/Hunters%202-{width}x{height}.jpg"
"82378","Puzzle Bobble VS","https://static-cdn.jtvnw.net/ttv-boxart/Puzzle%20Bobble%20VS-{width}x{height}.jpg"
"82379","Puzzle Bobble DS","https://static-cdn.jtvnw.net/ttv-boxart/Puzzle%20Bobble%20DS-{width}x{height}.jpg"
"82380","Bust a Move Online","https://static-cdn.jtvnw.net/ttv-boxart/Bust%20a%20Move%20Online-{width}x{height}.jpg"
"82381","New Bust-A-Move","https://static-cdn.jtvnw.net/ttv-boxart/New%20Bust-A-Move-{width}x{height}.jpg"
"82382","Animal Breeder","https://static-cdn.jtvnw.net/ttv-boxart/Animal%20Breeder-{width}x{height}.jpg"
"82383","Puzzle Bobble Online","https://static-cdn.jtvnw.net/ttv-boxart/Puzzle%20Bobble%20Online-{width}x{height}.jpg"
"82384","Rainbow Islands: Putty's Party","https://static-cdn.jtvnw.net/ttv-boxart/./Rainbow%20Islands:%20Putty%27s%20Party-{width}x{height}.jpg"
"82385","Animal Breeder 2","https://static-cdn.jtvnw.net/ttv-boxart/Animal%20Breeder%202-{width}x{height}.jpg"
"82386","Rabbids Invasion","https://static-cdn.jtvnw.net/ttv-boxart/Rabbids%20Invasion-{width}x{height}.jpg"
"82387","Assassin's Creed Rearmed","https://static-cdn.jtvnw.net/ttv-boxart/Assassin%27s%20Creed%20Rearmed-{width}x{height}.jpg"
"82388","Drift Sumi-e","https://static-cdn.jtvnw.net/ttv-boxart/Drift%20Sumi-e-{width}x{height}.jpg"
"82389","Samurai: Way of the Warrior","https://static-cdn.jtvnw.net/ttv-boxart/./Samurai:%20Way%20of%20the%20Warrior-{width}x{height}.jpg"
"82390","Exo-Planet","https://static-cdn.jtvnw.net/ttv-boxart/Exo-Planet-{width}x{height}.jpg"
"82391","Nightmares From The Deep: The Cursed Heart","https://static-cdn.jtvnw.net/ttv-boxart/./Nightmares%20From%20The%20Deep:%20The%20Cursed%20Heart-{width}x{height}.jpg"
"82392","Sugar Cube: Bittersweet Factory","https://static-cdn.jtvnw.net/ttv-boxart/./Sugar%20Cube:%20Bittersweet%20Factory-{width}x{height}.jpg"
"82393","Snow Job","https://static-cdn.jtvnw.net/ttv-boxart/Snow%20Job-{width}x{height}.jpg"
"82729","Open Me!","https://static-cdn.jtvnw.net/ttv-boxart/Open%20Me%21-{width}x{height}.jpg"
"82730","Vitrum","https://static-cdn.jtvnw.net/ttv-boxart/Vitrum-{width}x{height}.jpg"
"82731","First Queen","https://static-cdn.jtvnw.net/ttv-boxart/First%20Queen-{width}x{height}.jpg"
"82732","Qasir Al-Wasat: A Night in-Between","https://static-cdn.jtvnw.net/ttv-boxart/./Qasir%20Al-Wasat:%20A%20Night%20in-Between-{width}x{height}.jpg"
"82733","Sadakichi Seven: Hideyoshi no Ougon","https://static-cdn.jtvnw.net/ttv-boxart/./Sadakichi%20Seven:%20Hideyoshi%20no%20Ougon-{width}x{height}.jpg"
"82734","Tiger Woods PGA Tour 14","https://static-cdn.jtvnw.net/ttv-boxart/Tiger%20Woods%20PGA%20Tour%2014-{width}x{height}.jpg"
"82735","Gaia no Monshou","https://static-cdn.jtvnw.net/ttv-boxart/Gaia%20no%20Monshou-{width}x{height}.jpg"
"82736","Irisu Syndrome","https://static-cdn.jtvnw.net/ttv-boxart/Irisu%20Syndrome-{width}x{height}.jpg"
"82737","A Slower Speed of Light","https://static-cdn.jtvnw.net/ttv-boxart/A%20Slower%20Speed%20of%20Light-{width}x{height}.jpg"
"82738","Bikkuriman Daijikai","https://static-cdn.jtvnw.net/ttv-boxart/Bikkuriman%20Daijikai-{width}x{height}.jpg"
"82739","Fear Mythos: The RPG","https://static-cdn.jtvnw.net/ttv-boxart/./Fear%20Mythos:%20The%20RPG-{width}x{height}.jpg"
"83068","The Triathron","https://static-cdn.jtvnw.net/ttv-boxart/The%20Triathron-{width}x{height}.jpg"
"83069","Kyuukyoku Harikiri Stadium '88 Senshuu Shin Data","https://static-cdn.jtvnw.net/ttv-boxart/Kyuukyoku%20Harikiri%20Stadium%20%2788%20Senshuu%20Shin%20Data-{width}x{height}.jpg"
"83070","FIFA Online 2","https://static-cdn.jtvnw.net/ttv-boxart/FIFA%20Online%202-{width}x{height}.jpg"
"83071","Counter-Strike Online","https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike%20Online-{width}x{height}.jpg"
"83072","David Bellamy's Endangered Wildlife","https://static-cdn.jtvnw.net/ttv-boxart/David%20Bellamy%27s%20Endangered%20Wildlife-{width}x{height}.jpg"
"83073","Frog Fractions","https://static-cdn.jtvnw.net/ttv-boxart/Frog%20Fractions-{width}x{height}.jpg"
"83075","Top Rider","https://static-cdn.jtvnw.net/ttv-boxart/Top%20Rider-{width}x{height}.jpg"
"83076","PAC-MANGAMES","https://static-cdn.jtvnw.net/ttv-boxart/PAC-MANGAMES-{width}x{height}.jpg"
"83077","Namco Museum Encore","https://static-cdn.jtvnw.net/ttv-boxart/Namco%20Museum%20Encore-{width}x{height}.jpg"
"83412","Missile Control","https://static-cdn.jtvnw.net/ttv-boxart/Missile%20Control-{width}x{height}.jpg"
"83413","Pro Yakyuu Family Stadium '88","https://static-cdn.jtvnw.net/ttv-boxart/Pro%20Yakyuu%20Family%20Stadium%20%2788-{width}x{height}.jpg"
"83414","Debate It!","https://static-cdn.jtvnw.net/ttv-boxart/Debate%20It%21-{width}x{height}.jpg"
"83415","Shoukoushi Ceddie","https://static-cdn.jtvnw.net/ttv-boxart/Shoukoushi%20Ceddie-{width}x{height}.jpg"
"83416","Pro Yakyuu? Satsujin Jiken!","https://static-cdn.jtvnw.net/ttv-boxart/Pro%20Yakyuu%3F%20Satsujin%20Jiken%21-{width}x{height}.jpg"
"83417","Basketball Nightmare","https://static-cdn.jtvnw.net/ttv-boxart/Basketball%20Nightmare-{width}x{height}.jpg"
"83418","Tarot","https://static-cdn.jtvnw.net/ttv-boxart/Tarot-{width}x{height}.jpg"
"83753","Donald Duck no Mahou no Boushi","https://static-cdn.jtvnw.net/ttv-boxart/Donald%20Duck%20no%20Mahou%20no%20Boushi-{width}x{height}.jpg"
"83754","Cobalt Runner","https://static-cdn.jtvnw.net/ttv-boxart/Cobalt%20Runner-{width}x{height}.jpg"
"83755","Comedy Night","https://static-cdn.jtvnw.net/ttv-boxart/Comedy%20Night-{width}x{height}.jpg"
"83756","Louisiana Adventure","https://static-cdn.jtvnw.net/ttv-boxart/Louisiana%20Adventure-{width}x{height}.jpg"
"83757","Pokédex for iOS","https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9dex%20for%20iOS-{width}x{height}.jpg"
"83758","Aaron Crane: Paintings Come Alive","https://static-cdn.jtvnw.net/ttv-boxart/./Aaron%20Crane:%20Paintings%20Come%20Alive-{width}x{height}.jpg"
"83759","Panzer Corps: Afrika Korps","https://static-cdn.jtvnw.net/ttv-boxart/./Panzer%20Corps:%20Afrika%20Korps-{width}x{height}.jpg"
"84492","Times of Conflict","https://static-cdn.jtvnw.net/ttv-boxart/Times%20of%20Conflict-{width}x{height}.jpg"
"84493","Funky Smugglers","https://static-cdn.jtvnw.net/ttv-boxart/Funky%20Smugglers-{width}x{height}.jpg"
"84494","Ingress","https://static-cdn.jtvnw.net/ttv-boxart/Ingress-{width}x{height}.jpg"
"84495","Orczz","https://static-cdn.jtvnw.net/ttv-boxart/Orczz-{width}x{height}.jpg"
"84496","Anomaly Korea","https://static-cdn.jtvnw.net/ttv-boxart/Anomaly%20Korea-{width}x{height}.jpg"
"84497","Sleepwalker's Journey","https://static-cdn.jtvnw.net/ttv-boxart/Sleepwalker%27s%20Journey-{width}x{height}.jpg"
"84498","Extreme Road Trip 2","https://static-cdn.jtvnw.net/ttv-boxart/Extreme%20Road%20Trip%202-{width}x{height}.jpg"
"84499","Zytron II","https://static-cdn.jtvnw.net/ttv-boxart/Zytron%20II-{width}x{height}.jpg"
"84500","Syder Arcade","https://static-cdn.jtvnw.net/ttv-boxart/Syder%20Arcade-{width}x{height}.jpg"
"84501","Zzed","https://static-cdn.jtvnw.net/ttv-boxart/Zzed-{width}x{height}.jpg"
"84502","King Salmon: The Big Catch","https://static-cdn.jtvnw.net/ttv-boxart/./King%20Salmon:%20The%20Big%20Catch-{width}x{height}.jpg"
"84503","My Body Coach 3","https://static-cdn.jtvnw.net/ttv-boxart/My%20Body%20Coach%203-{width}x{height}.jpg"
"84504","Football Superstars","https://static-cdn.jtvnw.net/ttv-boxart/Football%20Superstars-{width}x{height}.jpg"
"84505","YoVille","https://static-cdn.jtvnw.net/ttv-boxart/YoVille-{width}x{height}.jpg"
"84506","Satomi Hakkenden","https://static-cdn.jtvnw.net/ttv-boxart/Satomi%20Hakkenden-{width}x{height}.jpg"
"84507","Sesame Street 1 2 3","https://static-cdn.jtvnw.net/ttv-boxart/Sesame%20Street%201%202%203-{width}x{height}.jpg"
"84508","Pachiokun 2","https://static-cdn.jtvnw.net/ttv-boxart/Pachiokun%202-{width}x{height}.jpg"
"84509","Family Trainer: Rairai Kyonshizu","https://static-cdn.jtvnw.net/ttv-boxart/./Family%20Trainer:%20Rairai%20Kyonshizu-{width}x{height}.jpg"
"84510","Motocross Champion","https://static-cdn.jtvnw.net/ttv-boxart/Motocross%20Champion-{width}x{height}.jpg"
"84511","Gun Buster","https://static-cdn.jtvnw.net/ttv-boxart/Gun%20Buster-{width}x{height}.jpg"
"84512","Last Survivor","https://static-cdn.jtvnw.net/ttv-boxart/Last%20Survivor-{width}x{height}.jpg"
"84513","TowerClimb","https://static-cdn.jtvnw.net/ttv-boxart/TowerClimb-{width}x{height}.jpg"
"84831","100 Years War Online","https://static-cdn.jtvnw.net/ttv-boxart/100%20Years%20War%20Online-{width}x{height}.jpg"
"84832","9Dragons","https://static-cdn.jtvnw.net/ttv-boxart/9Dragons-{width}x{height}.jpg"
"84833","2029 Online","https://static-cdn.jtvnw.net/ttv-boxart/2029%20Online-{width}x{height}.jpg"
"84834","Monster High Skultimate Roller Maze","https://static-cdn.jtvnw.net/ttv-boxart/Monster%20High%20Skultimate%20Roller%20Maze-{width}x{height}.jpg"
"84835","Dark Orbit","https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Orbit-{width}x{height}.jpg"
"84836","Age of Armor","https://static-cdn.jtvnw.net/ttv-boxart/Age%20of%20Armor-{width}x{height}.jpg"
"84837","Alganon","https://static-cdn.jtvnw.net/ttv-boxart/Alganon-{width}x{height}.jpg"
"84838","ARGO Online","https://static-cdn.jtvnw.net/ttv-boxart/ARGO%20Online-{width}x{height}.jpg"
"84839","KingsRoad","https://static-cdn.jtvnw.net/ttv-boxart/KingsRoad-{width}x{height}.jpg"
"84840","Rom Check Fail","https://static-cdn.jtvnw.net/ttv-boxart/Rom%20Check%20Fail-{width}x{height}.jpg"
"84841","Angry Birds Friends","https://static-cdn.jtvnw.net/ttv-boxart/Angry%20Birds%20Friends-{width}x{height}.jpg"
"84842","Operation 7","https://static-cdn.jtvnw.net/ttv-boxart/Operation%207-{width}x{height}.jpg"
"84843","Mission Against Terror","https://static-cdn.jtvnw.net/ttv-boxart/Mission%20Against%20Terror-{width}x{height}.jpg"
"84844","Great Battle!! Tezuka All Stars","https://static-cdn.jtvnw.net/ttv-boxart/Great%20Battle%21%21%20Tezuka%20All%20Stars-{width}x{height}.jpg"
"84845","t@g","https://static-cdn.jtvnw.net/ttv-boxart/t@g-{width}x{height}.jpg"
"84846","Sekiryuou","https://static-cdn.jtvnw.net/ttv-boxart/Sekiryuou-{width}x{height}.jpg"
"84847","Yamamura Misa Suspense: Kyouto Hana no Misshitsu Satsujin Jiken","https://static-cdn.jtvnw.net/ttv-boxart/./Yamamura%20Misa%20Suspense:%20Kyouto%20Hana%20no%20Misshitsu%20Satsujin%20Jiken-{width}x{height}.jpg"
"84848","Adventure Apes and the Mayan Mystery","https://static-cdn.jtvnw.net/ttv-boxart/Adventure%20Apes%20and%20the%20Mayan%20Mystery-{width}x{height}.jpg"
"84849","Heian Fuuunden","https://static-cdn.jtvnw.net/ttv-boxart/Heian%20Fuuunden-{width}x{height}.jpg"
"84850","Hourai Gakuen no Bouken! Tenkousei Scramble","https://static-cdn.jtvnw.net/ttv-boxart/Hourai%20Gakuen%20no%20Bouken%21%20Tenkousei%20Scramble-{width}x{height}.jpg"
"84851","Eschalon: Book III","https://static-cdn.jtvnw.net/ttv-boxart/./Eschalon:%20Book%20III-{width}x{height}.jpg"
"85247","Space Shadow","https://static-cdn.jtvnw.net/ttv-boxart/Space%20Shadow-{width}x{height}.jpg"
"85248","Tama and Friends","https://static-cdn.jtvnw.net/ttv-boxart/Tama%20and%20Friends-{width}x{height}.jpg"
"85249","Ganbare Pennant Race!","https://static-cdn.jtvnw.net/ttv-boxart/Ganbare%20Pennant%20Race%21-{width}x{height}.jpg"
"85250","Hyakkiyakou","https://static-cdn.jtvnw.net/ttv-boxart/Hyakkiyakou-{width}x{height}.jpg"
"85251","American Lowriders","https://static-cdn.jtvnw.net/ttv-boxart/American%20Lowriders-{width}x{height}.jpg"
"85252","Maestia","https://static-cdn.jtvnw.net/ttv-boxart/Maestia-{width}x{height}.jpg"
"85253","JetSet Secrets","https://static-cdn.jtvnw.net/ttv-boxart/JetSet%20Secrets-{width}x{height}.jpg"
"85254","King of Kings 3","https://static-cdn.jtvnw.net/ttv-boxart/King%20of%20Kings%203-{width}x{height}.jpg"
"85851","Tiny Barbarian DX","https://static-cdn.jtvnw.net/ttv-boxart/Tiny%20Barbarian%20DX-{width}x{height}.jpg"
"85852","Obut Pétanque 2","https://static-cdn.jtvnw.net/ttv-boxart/Obut%20P%C3%A9tanque%202-{width}x{height}.jpg"
"85853","Invincible Knight","https://static-cdn.jtvnw.net/ttv-boxart/Invincible%20Knight-{width}x{height}.jpg"
"85854","Nippon Futsal League Kounin: Minna no DS Futsal","https://static-cdn.jtvnw.net/ttv-boxart/./Nippon%20Futsal%20League%20Kounin:%20Minna%20no%20DS%20Futsal-{width}x{height}.jpg"
"85855","Nyan Cat!","https://static-cdn.jtvnw.net/ttv-boxart/Nyan%20Cat%21-{width}x{height}.jpg"
"85856","Nyan Cat: Lost in Space","https://static-cdn.jtvnw.net/ttv-boxart/./Nyan%20Cat:%20Lost%20in%20Space-{width}x{height}.jpg"
"85857","Inside","https://static-cdn.jtvnw.net/ttv-boxart/Inside-{width}x{height}.jpg"
"85858","Nyan Cat: Jump!","https://static-cdn.jtvnw.net/ttv-boxart/./Nyan%20Cat:%20Jump%21-{width}x{height}.jpg"
"85859","The Ninja Kids","https://static-cdn.jtvnw.net/ttv-boxart/The%20Ninja%20Kids-{width}x{height}.jpg"
"85860","Sasuke","https://static-cdn.jtvnw.net/ttv-boxart/Sasuke-{width}x{height}.jpg"
"85861","Ninja Clowns","https://static-cdn.jtvnw.net/ttv-boxart/Ninja%20Clowns-{width}x{height}.jpg"
"85862","Mahjong Quest Collection","https://static-cdn.jtvnw.net/ttv-boxart/Mahjong%20Quest%20Collection-{width}x{height}.jpg"
"85863","Bloons TD 5","https://static-cdn.jtvnw.net/ttv-boxart/Bloons%20TD%205-{width}x{height}.jpg"
"85864","Madou Monogatari ARS","https://static-cdn.jtvnw.net/ttv-boxart/Madou%20Monogatari%20ARS-{width}x{height}.jpg"
"85865","7th Dragon 2020-II","https://static-cdn.jtvnw.net/ttv-boxart/7th%20Dragon%202020-II-{width}x{height}.jpg"
"85866","Edelweiss Eiden Fantasia","https://static-cdn.jtvnw.net/ttv-boxart/Edelweiss%20Eiden%20Fantasia-{width}x{height}.jpg"
"85867","Bullion Blitz","https://static-cdn.jtvnw.net/ttv-boxart/Bullion%20Blitz-{width}x{height}.jpg"
"86494","Mahjong Shanghai","https://static-cdn.jtvnw.net/ttv-boxart/Mahjong%20Shanghai-{width}x{height}.jpg"
"86495","BRAZEN","https://static-cdn.jtvnw.net/ttv-boxart/BRAZEN-{width}x{height}.jpg"
"86496","Mystery Of Time And Space","https://static-cdn.jtvnw.net/ttv-boxart/Mystery%20Of%20Time%20And%20Space-{width}x{height}.jpg"
"86497","Elminage Gothic","https://static-cdn.jtvnw.net/ttv-boxart/Elminage%20Gothic-{width}x{height}.jpg"
"86498","Super Shanghai 2005","https://static-cdn.jtvnw.net/ttv-boxart/Super%20Shanghai%202005-{width}x{height}.jpg"
"86499","Minna no Soft Series: Shanghai","https://static-cdn.jtvnw.net/ttv-boxart/./Minna%20no%20Soft%20Series:%20Shanghai-{width}x{height}.jpg"
"86500","Toro's Friend Network","https://static-cdn.jtvnw.net/ttv-boxart/Toro%27s%20Friend%20Network-{width}x{height}.jpg"
"86501","Reaction Rally","https://static-cdn.jtvnw.net/ttv-boxart/Reaction%20Rally-{width}x{height}.jpg"
"86502","Field Goal Contest","https://static-cdn.jtvnw.net/ttv-boxart/Field%20Goal%20Contest-{width}x{height}.jpg"
"86503","Prize Driver","https://static-cdn.jtvnw.net/ttv-boxart/Prize%20Driver-{width}x{height}.jpg"
"86504","10 Frame Bowling","https://static-cdn.jtvnw.net/ttv-boxart/10%20Frame%20Bowling-{width}x{height}.jpg"
"86505","Penalty Saver","https://static-cdn.jtvnw.net/ttv-boxart/Penalty%20Saver-{width}x{height}.jpg"
"86506","CityVille 2","https://static-cdn.jtvnw.net/ttv-boxart/CityVille%202-{width}x{height}.jpg"
"86861","Big Challenge! Gun Fighter","https://static-cdn.jtvnw.net/ttv-boxart/Big%20Challenge%21%20Gun%20Fighter-{width}x{height}.jpg"
"86862","Jajamaru Ninpou Chou","https://static-cdn.jtvnw.net/ttv-boxart/Jajamaru%20Ninpou%20Chou-{width}x{height}.jpg"
"86863","Putt Putt Golf","https://static-cdn.jtvnw.net/ttv-boxart/Putt%20Putt%20Golf-{width}x{height}.jpg"
"86864","Jottobots","https://static-cdn.jtvnw.net/ttv-boxart/Jottobots-{width}x{height}.jpg"
"86866","Sakigake!! Otokojuku: Shippu Ichi Gou Sei","https://static-cdn.jtvnw.net/ttv-boxart/./Sakigake%21%21%20Otokojuku:%20Shippu%20Ichi%20Gou%20Sei-{width}x{height}.jpg"
"86867","Matsumoto Tooru no Kabushiki Hisshou Gaku 2","https://static-cdn.jtvnw.net/ttv-boxart/Matsumoto%20Tooru%20no%20Kabushiki%20Hisshou%20Gaku%202-{width}x{height}.jpg"
"86868","Hikari Genji Roller Panic","https://static-cdn.jtvnw.net/ttv-boxart/Hikari%20Genji%20Roller%20Panic-{width}x{height}.jpg"
"87185","Dominion Online","https://static-cdn.jtvnw.net/ttv-boxart/Dominion%20Online-{width}x{height}.jpg"
"87186","Gunhound EX","https://static-cdn.jtvnw.net/ttv-boxart/Gunhound%20EX-{width}x{height}.jpg"
"87187","Great Soccer","https://static-cdn.jtvnw.net/ttv-boxart/Great%20Soccer-{width}x{height}.jpg"
"87512","Don't Look Back","https://static-cdn.jtvnw.net/ttv-boxart/Don%27t%20Look%20Back-{width}x{height}.jpg"
"87513","PhotoKano","https://static-cdn.jtvnw.net/ttv-boxart/PhotoKano-{width}x{height}.jpg"
"87514","Frozen Hearth","https://static-cdn.jtvnw.net/ttv-boxart/Frozen%20Hearth-{width}x{height}.jpg"
"87515","Teenage Mutant Ninja Turtles: Double Damage","https://static-cdn.jtvnw.net/ttv-boxart/./Teenage%20Mutant%20Ninja%20Turtles:%20Double%20Damage-{width}x{height}.jpg"
"87516","MLB 13: The Show","https://static-cdn.jtvnw.net/ttv-boxart/./MLB%2013:%20The%20Show-{width}x{height}.jpg"
"87517","Ashes of Immortality","https://static-cdn.jtvnw.net/ttv-boxart/Ashes%20of%20Immortality-{width}x{height}.jpg"
"87834","Puzziball","https://static-cdn.jtvnw.net/ttv-boxart/Puzziball-{width}x{height}.jpg"
"87835","Labyrinth Legends","https://static-cdn.jtvnw.net/ttv-boxart/Labyrinth%20Legends-{width}x{height}.jpg"
"87836","Mushroom Men: Truffle Trouble","https://static-cdn.jtvnw.net/ttv-boxart/./Mushroom%20Men:%20Truffle%20Trouble-{width}x{height}.jpg"
"87837","Bakemonogatari Portable","https://static-cdn.jtvnw.net/ttv-boxart/Bakemonogatari%20Portable-{width}x{height}.jpg"
"87838","NFL Blitz: Special Edition","https://static-cdn.jtvnw.net/ttv-boxart/./NFL%20Blitz:%20Special%20Edition-{width}x{height}.jpg"
"87839","Big Air Wakeboarding","https://static-cdn.jtvnw.net/ttv-boxart/Big%20Air%20Wakeboarding-{width}x{height}.jpg"
"88185","Surge","https://static-cdn.jtvnw.net/ttv-boxart/Surge-{width}x{height}.jpg"
"88186","Crow","https://static-cdn.jtvnw.net/ttv-boxart/Crow-{width}x{height}.jpg"
"88187","No More Room In Hell","https://static-cdn.jtvnw.net/ttv-boxart/No%20More%20Room%20In%20Hell-{width}x{height}.jpg"
"88188","Darkfall Unholy Wars","https://static-cdn.jtvnw.net/ttv-boxart/Darkfall%20Unholy%20Wars-{width}x{height}.jpg"
"88189","The Book of Unwritten Tales: The Critter Chronicles","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Book%20of%20Unwritten%20Tales:%20The%20Critter%20Chronicles-{width}x{height}.jpg"
"88190","Kamen Rider: Climax Heroes W","https://static-cdn.jtvnw.net/ttv-boxart/./Kamen%20Rider:%20Climax%20Heroes%20W-{width}x{height}.jpg"
"88191","Kamen Rider: Climax Heroes OOO","https://static-cdn.jtvnw.net/ttv-boxart/./Kamen%20Rider:%20Climax%20Heroes%20OOO-{width}x{height}.jpg"
"88192","Kamen Rider: Climax Heroes Fourze","https://static-cdn.jtvnw.net/ttv-boxart/./Kamen%20Rider:%20Climax%20Heroes%20Fourze-{width}x{height}.jpg"
"88193","True Remembrance: Kioku no Kakera","https://static-cdn.jtvnw.net/ttv-boxart/./True%20Remembrance:%20Kioku%20no%20Kakera-{width}x{height}.jpg"
"88532","Stealth Bastard Deluxe","https://static-cdn.jtvnw.net/ttv-boxart/Stealth%20Bastard%20Deluxe-{width}x{height}.jpg"
"88533","The X-Files: Unrestricted Access","https://static-cdn.jtvnw.net/ttv-boxart/./The%20X-Files:%20Unrestricted%20Access-{width}x{height}.jpg"
"88534","Eraser Turnabout","https://static-cdn.jtvnw.net/ttv-boxart/Eraser%20Turnabout-{width}x{height}.jpg"
"88535","Jay Fighter","https://static-cdn.jtvnw.net/ttv-boxart/Jay%20Fighter-{width}x{height}.jpg"
"88537","District 187: Sin Streets","https://static-cdn.jtvnw.net/ttv-boxart/./District%20187:%20Sin%20Streets-{width}x{height}.jpg"
"88538","Urban Trial Freestyle","https://static-cdn.jtvnw.net/ttv-boxart/Urban%20Trial%20Freestyle-{width}x{height}.jpg"
"88539","Travel Bug","https://static-cdn.jtvnw.net/ttv-boxart/Travel%20Bug-{width}x{height}.jpg"
"89279","Astebreed","https://static-cdn.jtvnw.net/ttv-boxart/Astebreed-{width}x{height}.jpg"
"89280","Taiheiki","https://static-cdn.jtvnw.net/ttv-boxart/Taiheiki-{width}x{height}.jpg"
"89281","Dungeon Travelers 2: The Royal Library & The Monster Seal","https://static-cdn.jtvnw.net/ttv-boxart/./Dungeon%20Travelers%202:%20The%20Royal%20Library%20&%20The%20Monster%20Seal-{width}x{height}.jpg"
"89282","To Heart 2: Dungeon Travelers","https://static-cdn.jtvnw.net/ttv-boxart/./To%20Heart%202:%20Dungeon%20Travelers-{width}x{height}.jpg"
"89283","Polara","https://static-cdn.jtvnw.net/ttv-boxart/Polara-{width}x{height}.jpg"
"89284","Skrillex Quest","https://static-cdn.jtvnw.net/ttv-boxart/Skrillex%20Quest-{width}x{height}.jpg"
"89285","BlazBlue: Clone Phantasma","https://static-cdn.jtvnw.net/ttv-boxart/./BlazBlue:%20Clone%20Phantasma-{width}x{height}.jpg"
"89286","Rockett's Tricky Decision","https://static-cdn.jtvnw.net/ttv-boxart/Rockett%27s%20Tricky%20Decision-{width}x{height}.jpg"
"89287","EcoFish","https://static-cdn.jtvnw.net/ttv-boxart/EcoFish-{width}x{height}.jpg"
"89288","Heroes Chronicles: The Fiery Moon","https://static-cdn.jtvnw.net/ttv-boxart/./Heroes%20Chronicles:%20The%20Fiery%20Moon-{width}x{height}.jpg"
"89289","Rockett's Secret Invitation","https://static-cdn.jtvnw.net/ttv-boxart/Rockett%27s%20Secret%20Invitation-{width}x{height}.jpg"
